kata_imbuhan,kata_dasar
acian, aci
awur-awuran, awur
ari-ari, ari
apit-apit, apit
aru-aru, aru
andang-andang, andang
antigennya, antigen
anakmu, anak
adilnya, adil
adang-adang, adang
apkiran, apkir
asuan, asu
ancang-ancang, ancang
awuran, awur
alingan, aling
ajakan, aja
administrasinya, administrasi
amaran, amar
angin-anginan, angin
apu-apu, apu
abui, abu
agonisis, agonis
angkringan, angkring
andangan, andang
asahan, asah
aci-acinya, aci
asongan, asong
acuman, acum
ampuni, ampun
antikuarian, antikuari
adindaku, adinda
anian, ani
ajuan, aju
api-api, api
alur-alur, alur
ayeng-ayengan, ayeng
aibnya, aib
aring-aring, aring
awut-awutan, awut
azizi, aziz
acap-acap, acap
aronan, aron
asungan, asung
alih-alih, alih
akulah, aku
adatnya, adat
asapnya, asap
alisnya, alis
anjungnya, anjung
anjang-anjang, anjang
alif-alifan, alif
andaikan, andai
andaran, andar
ayuman, ayum
akhir-akhirnya, akhir
autobiografis, autobiograf
agustusan, agustus
adakah, ada
angkut-angkut, angkut
alur-aluran, alur
aliran, alir
amputan, amput
argumentasinya, argumentasi
anggar-anggar, anggar
antrean, antre
ambilan, ambil
amprung-amprungan, amprung
anjung-anjung, anjung
asyik-asyiknya, asyik
ayapan, ayap
adik-beradik, adik
andalkan, andal
asuh-asuh, asuh
abaian, abai
angkup-angkup, angkup
apa-apaan, apa
adresnya, adres
anggotanya, anggota
alasannya, alas
anjungan, anjung
antar-antar, antar
apa-apa, apa
angkutan, angkut
ambaian, ambai
alasan, alas
auman, aum
angkatan, angkat
anjung-anjungan, anjung
arsiteknya, arsitek
agamanya, agama
arungan, arung
auran, aur
agar-agar, agar
akhlaknya, akhlak
allahlah, allah
akan-akan, akan
adunan, adun
anakan, ana
ayam-ayam, ayam
ayahmu, ayah
ajai, aja
ada-adanyakah, ada
agensi, agens
adamu, ada
angka-angka, angka
amung-amung, amung
aluran, alur
ayunan, ayun
aksesi, akses
anak-anak, anak
adilan, adil
antaran, antar
apaan, apa
awat-awat, awat
awangan, awang
apian, api
aspalnya, aspal
asal-asalan, asal
arahnya, arah
antanan, antan
akalnya, akal
aci-aci, aci
alkoholisis, alkoholis
amai, ama
anjakan, anja
adatlah, adat
adiknya, adik
anak-beranak, anak
awalan, awal
amalan, amal
atmosfernya, atmosfer
ajarannya, ajar
ambil-mengambil, ambil
ayakan, ayak
agamaisme, agama
ambinan, ambin
adukan, adu
asalkan, asal
asihannya, asih
ampunan, ampun
akanan, akan
anjuran, anjur
ampaian, ampai
alelnya, alel
asuhan, asuh
asingan, asing
ambekan, ambek
acatan, acat
ajalnya, ajal
anggukan, angguk
asalnya, asal
acang-acang, acang
alu-aluan, alu
angguran, anggur
alirannya, alir
adikmu, adik
anyam-menganyam, anyam
ayam-ayaman, ayam
amai-amai, ama
aling-aling, aling
artikulasinya, artikulasi
araban, arab
asalan, asal
angin-angin, angin
awasan, awas
anginnya, angin
adikku, adik
adap-adapan, adap
ancak-ancak, ancak
anyamannya, anyam
alasnya, alas
alangan, alang
auditan, audit
atung-atung, atung
alunan, alun
ajar-ajar, ajar
apalah, apa
alamatnya, alamat
atasan, atas
anjing-anjing, anjing
awang-awang, awang
ancangan, ancang
abuhan, abuh
akalku, akal
adanya, ada
asian, asi
atasi, atas
abaran, abar
asyiknya, asyik
adonan, adon
alu-alu, alu
amatiran, amatir
arung-arungan, arung
apitan, apit
ayahku, ayah
anter-anter, anter
atas-mengatasi, atas
agai, aga
abah-abah, abah
arahan, arah
alang-alangan, alang
alomorfisme, alomorf
anutan, anut
amalnya, amal
asuhannya, asuh
aba-aba, aba
arakan, ara
arlojiku, arloji
aling-alingan, aling
ali-ali, ali
akarnya, akar
akilah, aki
abar-abar, abar
akal-akal, akal
aplusan, aplus
agronomis, agronom
aritnya, arit
anting-anting, anting
amatan, amat
andalan, andal
ambring-ambringan, ambring
aungan, aung
acoan, aco
amatir-amatiran, amatir
atapnya, atap
aksinya, aksi
anakku, anak
acak-acakan, acak
alon-alon, alon
antonimnya, antonim
aci-acian, aci
apapun, apa
anyaman, anyam
ani-ani, ani
asuransinya, asuransi
acuannya, acu
ambung-ambung, ambung
anestesiologi, anestesiolog
acungan, acung
agut-agut, agut
asinan, asin
airnya, air
aki-aki, aki
akrobatis, akrobat
awalnya, awal
akupunkturis, akupunktur
angan-angan, angan
aprit-apritan, aprit
anjingnya, anjing
anyang-anyangan, anyang
agamis, agam
agunan, agun
akhirnya, akhir
atasannya, atas
asterisme, aster
amukan, amuk
aslinya, asli
aleman, alem
alun-alun, alun
anganku, angan
anggapan, anggap
agilis, agil
asaman, asam
asam-asaman, asam
antesedennya, anteseden
ayut-ayutan, ayut
asah-asah, asah
aram-aram, aram
ajaranmu, ajar
agihan, agih
ayamnya, ayam
agungkan, agung
ayahnya, ayah
asramanya, asrama
andaian, andai
airilah, air
abuh-abuhan, abuh
akhiran, akhir
awetan, awet
ambai-ambai, ambai
amit-amit, amit
arsiran, arsir
aring-aringan, aring
anaknyalah, anak
angsurannya, angsur
anai-anai, ana
antaranya, antara
arah-arah, arah
anggaran, anggar
ampunlah, ampun
aturan, atur
asa-asaan, asa
apung-apung, apung
awar-awar, awar
antah-berantah, antah
anduhan, anduh
abuk-abuk, abuk
ampai-ampai, ampai
arlojinya, arloji
atomnya, atom
alap-alap, alap
andaman, andam
ampunilah, ampun
antar-mengantar, antar
artian, arti
alang-alang, alang
abdomennya, abdomen
akademisnya, akademis
anaknya, anak
ambah-ambah, ambah
aco-acoan, aco
ajaran, ajar
akar-akaran, akar
akibatnya, akibat
anggitan, anggit
adi-adi, adi
anyang-anyang, anyang
ati-ati, ati
aduklah, aduk
agak-agak, agak
artinya, arti
ayak-ayak, ayak
acuan, acu
acuhan, acuh
angsuran, angsur
asketisme, asket
adaan, ada
absisi, absis
ataupun, atau
abu-abu, abu
aji-aji, aji
agaknya, agak
aduan, adu
amblesan, ambles
ada-adanya, ada
amin-amin, amin
acak-acak, acak
acan-acan, acan
angkuhnya, angkuh
ambalan, ambal
angonan, angon
alaminya, alami
ajukan, aju
ampasnya, ampas
aneh-aneh, aneh
aturannya, atur
ajian, aji
alip-alipan, alip
atasnya, atas
awan-berawan, awan
ancaman, ancam
berawas-awas, awas
berkuat-kuat, kuat
berkeredep, keredep
berkajang, kajang
biliknya, bilik
bertanda, tanda
berdecit, decit
bersilir-silir, silir
bersisipan, sisip
berfungsi, fungsi
bersuci, suci
bertatahkan, tatah
berbalas-balasan, balas
berteguh-teguhan, teguh
berhewan, hewan
bersambung, sambung
berketel, ketel
berpolemik, polemik
bergerek-gerek, gerek
berkirim, kirim
buruhnya, buruh
bersungkup, sungkup
berpirau-pirau, pirau
berlonggok, longgok
berasnya, beras
berkelopak, kelopak
berebut-rebut, rebut
berbisa, bisa
bergantung, gantung
biarlah, biar
barumu, baru
berhilau, hilau
belelnya, belel
berpuisi, puisi
bertasyakur, tasyakur
berkorespondensi, korespondensi
berprakarsa, prakarsa
berwaad, waad
bertalian, tali
berkeriau, keriau
berjaram, jaram
berpesiar, pesiar
berbuih, buih
berkecamuk, kecamuk
bersendi-sendi, sendi
berdenyar, denyar
batunya, batu
bersiru, siru
berdoalah, doa
berbaring, baring
berdentam-dentam, dentam
berkemendang, kemendang
berusuh, rusuh
berarus, arus
berlumur, lumur
berkail, kail
berlabur, labur
berteraskan, ras
berlipat-lipat, lipat
bekerja, kerja
berkobok, kobok
bersepeda, sepeda
bersejarah, sejarah
berpuluh-puluh, puluh
berdangdut, dangdut
berpilu, pilu
bergurab, gurab
bersetujuan, tuju
berurut-urutan, urut
berlaung, laung
bertukuk, tukuk
berasrama, asrama
berdampingan, damping
binari, binar
berkesot, kesot
berbenak, benak
bentangan, bentang
berpinak, pinak
berkendaraan, kendara
berlubuk, lubuk
berunting, unting
bertelapak, telapak
berpengetahuan, tahu
berganti-ganti, ganti
berkereket, kereket
berganggang, ganggang
berjujuh, jujuh
bebatan, bebat
bersentosa, sentosa
berkecambah, kecambah
bergoyang-goyang, goyang
bercantik-cantik, cantik
bekunya, beku
berdempetan, dempet
bohongnya, bohong
beruntusan, beruntus
berlamparan, lampar
bertawakal, tawakal
berkelepai, lepa
beralat, alat
bersalahan, salah
berpulut, pulut
berkelompok-kelompok, kelompok
berbual-bual, bual
berdesik-desik, desik
berkusau-kusau, kusau
bahunya, bahu
bayangannya, bayang
berargumentasi, argumentasi
bertawan-tawan, tawan
berseling, seling
berketak-ketak, ketak
berbumbu, bumbu
bergerincing, gerincing
bijian, biji
beralih, alih
biasakanlah, biasa
beracun, racun
berkaveling, kaveling
berkolusi, kolusi
bertangisan, tangis
bersemarak, semarak
berjujai, juja
bergranula, granula
bergerigi, gerigi
berkampuh, kampuh
berpangkat, pangkat
berkobar, kobar
berlompatan, lompat
berparit, parit
berpinggang, pinggang
bintangnya, bintang
bercakapan, cakap
berjeremang, jemang
bertemin, temin
berseri-seri, seri
bodoran, bodor
berjagal, jagal
berdongkol, dongkol
berjongkok-jongkok, jongkok
berkerumuk, kerumuk
bertaruk, taruk
berarsitektur, arsitektur
berbeting, beting
beraninya, berani
berpuntung, puntung
berabarkan, abar
berkanjang, kanjang
berkujut, kujut
bertelekomunikasi, telekomunikasi
bersembah, sembah
berlindung, lindung
beruntuhan, runtuh
beranggut, anggut
berbibir, bibir
berkedip, kedip
berdikit-dikit, dikit
berkempul-kempul, kempul
bertakuk, takuk
berkembur-kembur, kembur
bergegas-gegas, gegas
bersinambung, sinambung
berjongkok, jongkok
berdendam-dendaman, dendam
berkelit, kelit
bunyian, bunyi
berbiduk-biduk, biduk
berebab, rebab
bertemperasan, temperas
berpupuh, pupuh
beryoga, yoga
bermuara, muara
beselan, besel
bersaingan, saing
berdecap-decap, decap
bersaji, saji
berdebar-debar, debar
bagaikan, bagai
bicaralah, bicara
bersara, sara
betik-betik, betik
berjalinan, jalin
bernanti-nanti, nanti
berhalo-halo, halo
bertempap, tempap
bekerlip, kerlip
bertempurung, tempurung
berkoalisi, koalisi
berledakan, ledak
berdawai, dawai
bonekanya, boneka
berasosiasi, asosiasi
beranggul, anggul
bepermulaan, mula
berkusuk, kusuk
berangin, angin
bertentu-tentu, tentu
bergelanggang, gelanggang
bercuriga, curiga
berbiras, biras
blong-blongan, blong
berseakan, akan
bersudut, sudut
berjagung-jagung, jagung
bercamping-camping, camping
berjotosan, jotos
beramuk-amuk, amuk
berenceng, renceng
bertarungan, tarung
berkurung, kurung
berkelemban, kelemban
berbenam, benam
beramal, amal
bertatap, tatap
berkeruh, keruh
berjilbab, jilbab
bercirikan, ciri
beragitasi, agitasi
berkop, kop
bertanya, tanya
bersilinder, silinder
berkoleksi, koleksi
berbedaan, beda
berhabis, habis
berkaum, kaum
bermagang, magang
bersinter, sinter
berdegap-degap, degap
berdefile, defile
bajingan, bajing
bantahlah, bantah
berevakuasi, evakuasi
berurusan, urus
bertatapan, tatap
bertengking, tengking
berjantang, jantang
bersantan, santan
berani-berani, berani
berbasah-basah, basah
berlambat, lambat
bercanggah, canggah
bergosokan, gosok
bersambar-sambaran, sambar
berdentang-dentang, dentang
bersalai, sala
berwalang, walang
berfoto, foto
berpeluang, peluang
berturutan, turut
bercap, cap
berdebur, debur
bukuku, buku
bekerjalah, kerja
berkumpul, kumpul
berdiagonal, diagonal
beribu, ibu
berbelulang, belulang
berkucur, kucur
berkala, kala
berprospek, prospek
berturut-turut, turut
bertetesan, tetes
berjuang, juang
bersombong, sombong
berkeredong, keredong
bercinta-cintaan, cinta
berdemah, demah
bergeleng-geleng, geleng
bergeleberan, geber
berjuluk, juluk
bersabda, sabda
bungkah, bung
berpermukaan, muka
berjiran, jiran
berbingkah-bingkah, bingkah
bertajuk-tajuk, tajuk
berjimak, jimak
berpal-pal, pal
bersayap, sayap
bertamparan, tampar
berjingkat-jingkat, jingkat
berbunuh-bunuhan, bunuh
bernoda, noda
bersegel, segel
berawa, awa
bergasing, gasing
berjampi, jampi
bercarut-carut, carut
beria, ria
berhaul, haul
bersiaga, siaga
berkeahlian, ahli
berjendul, jendul
bertempat-tempat, tempat
berlenggang, lenggang
bercoangan, coang
bacaan, baca
bergiat, giat
berideologi, ideologi
bulang-bulang, bulang
berdesir, desir
berdasar, dasar
berkejang-kejang, kejang
bertawaran, tawar
beribadah, ibadah
bertampuk, tampuk
berjujut-jujutan, jujut
berseloka, seloka
berpinar, pinar
bersesak, sesak
berkostum, kostum
bermemek, memek
berketam, ketam
berakit-rakit, rakit
berandau, randau
berkolokasi, kolokasi
bersadai, sadai
bercela, cela
berlandas, landas
berjompakan, jompak
bertahun, tahun
belayak, bayak
berpapakan, papa
bertasbih, tasbih
bergelonggong, gelonggong
bersinau-sinau, sinau
bernafsi-nafsi, nafsi
berhari, hari
bersiung, siung
bercerak, cerak
barangnya, barang
berpikirnya, pikir
berbalik, balik
berkemih, kemih
bercawat, cawat
berkancing, kancing
berbedil-bedilan, bedil
berbulu, bulu
berbidan, bidan
berkereta, kereta
berjimat, jimat
berbalapan, balap
berorientasi, orientasi
berkali-kali, kali
bermemberi, beri
berias, rias
bercabang, cabang
berpisah, pisah
beradab, adab
bergantungan, gantung
bertuliskan, tulis
berbahas, bahas
bertuankan, tuan
bertumpah, tumpah
berhati, hati
berterima, terima
berlerot, lerot
berkecil, kecil
berguguran, gugur
bertongkat, tongkat
berkumai, kumai
berpancuran, pancur
bedanya, beda
bukaan, buka
berlikut, likut
bertadarus, tadarus
berkalung, kalung
bersangai, sanga
berpariwisata, pariwisata
berbinikan, bini
bercorek, corek
bertabrakan, tabrak
beroleh, oleh
badannya, badan
beratapkan, ratap
bertegun, tegun
berenangnya, renang
berkembar, kembar
berhadiah, hadiah
bengkokan, bengkok
berkokok, kokok
berjumbaian, jumbai
beramus, ramus
berdosis, dos
bercerita, cerita
bertabel, tabel
berhakikat, hakikat
bergembleng, gembleng
bergenang, genang
berjubel, jubel
berlekuk, lekuk
bermula, mula
berprotein, protein
berserobok, serobok
berpandu, pandu
berseregang, seregang
beranjau, ranjau
berbiduk, biduk
beracah-acah, acah
beriring, iring
bercuti, cut
berkelok-kelok, kelok
berterawang, terawang
berangkatlah, berangkat
bersuruk-surukan, suruk
bercincin, cincin
bertautan, taut
berpanas, panas
bocoran, bocor
berbatas, batas
beralang, alang
berdangka, dangka
bagusnya, bagus
berdukung, dukung
berbakak, bakak
bertangguk, tangguk
berdawat, dawat
berkericau, kericau
berderai, dera
bertimbakan, timba
berketerangan, angan
bersebelahan, bahan
berpasak, pasak
