singkatan,kata
@, di
abis, habis
ad, ada
adlh, adalah
afaik, as far as i know
ahaha, haha
aj, saja
ajep-ajep, dunia gemerlap
ak, saya
akika, aku
akkoh, aku
akuwh, aku
alay, norak
alow, halo
ambilin, ambilkan
ancur, hancur
anjrit, anjing
anter, antar
ap2, apa-apa
apasih, apa sih
apes, sial
aps, apa
aq, saya
aquwh, aku
asbun, asal bunyi
aseekk, asyik
asekk, asyik
asem, asam
aspal, asli tetapi palsu
astul, asal tulis
ato, atau
au ah, tidak mau tahu
awak, saya
ay, sayang
ayank, sayang
b4, sebelum
bakalan, akan
bandes, bantuan desa
bangedh, banget
banpol, bantuan polisi
banpur, bantuan tempur
basbang, basi
bcanda, bercanda
bdg, bandung
begajulan, nakal
beliin, belikan
bencong, banci
bentar, sebentar
ber3, bertiga
beresin, membereskan
bete, bosan
beud, banget
bg, abang
bgmn, bagaimana
bgt, banget
bijimane, bagaimana
bintal, bimbingan mental
bkl, akan
bknnya, bukannya
blegug, bodoh
blh, boleh
bln, bulan
blum, belum
bnci, benci
bnran, yang benar
bodor, lucu
bokap, ayah
boker, buang air besar
bokis, bohong
boljug, boleh juga
bonek, bocah nekat
boyeh, boleh
br, baru
brg, bareng
bro, saudara laki-laki
bru, baru
bs, bisa
bsen, bosan
bt, buat
btw, ngomong-ngomong
buaya, tidak setia
bubbu, tidur
bubu, tidur
bumil, ibu hamil
bw, bawa
bwt, buat
byk, banyak
byrin, bayarkan
cabal, sabar
cadas, keren
calo, makelar
can, belum
capcus, pergi
caper, cari perhatian
ce, cewek
cekal, cegah tangkal
cemen, penakut
cengengesan, tertawa
cepet, cepat
cew, cewek
chuyunk, sayang
cimeng, ganja
cipika cipiki, cium pipi kanan cium pipi kiri
ciyh, sih
ckepp, cakep
ckp, cakep
cmiiw, correct me if i'm wrong
cmpur, campur
cong, banci
conlok, cinta lokasi
cowwyy, maaf
cp, siapa
cpe, capek
cppe, capek
cucok, cocok
cuex, cuek
cumi, Cuma miscall
cups, culun
curanmor, pencurian kendaraan bermotor
curcol, curahan hati colongan
cwek, cewek
cyin, cinta
d, di
dah, deh
dapet, dapat
de, adik
dek, adik
demen, suka
deyh, deh
dgn, dengan
diancurin, dihancurkan
dimaafin, dimaafkan
dimintak, diminta
